id,field,ra,dec,sep_from_center_arcmin,xray_survey,fxb_full_05_7keV,fxb_soft_02_2keV,fxb_hard_27_keV,offaxis_factor,detected
47509,primer-uds-south,34.26460314475026,-5.232585427484487,7.67,XMM-Newton UDS / UDSz X-ray (Kocevski+18),7.016255944672691e-16,2.338751981557564e-16,1.4032511889345383e-15,4.68,False
48686,primer-uds-south,34.49635717133602,-5.230361011735166,6.6,XMM-Newton UDS / UDSz X-ray (Kocevski+18),5.582326285647766e-16,1.8607754285492551e-16,1.1164652571295531e-15,3.72,False
48982,primer-uds-south,34.33123035997706,-5.229861833950647,3.95,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.962494665036291e-16,9.874982216787638e-17,5.924989330072582e-16,1.97,False
50716,primer-uds-south,34.31315407240597,-5.226780942036896,5.01,XMM-Newton UDS / UDSz X-ray (Kocevski+18),3.8488258234927637e-16,1.2829419411642547e-16,7.697651646985527e-16,2.57,False
51593,primer-uds-south,34.37359814355506,-5.225203398424738,2.31,XMM-Newton UDS / UDSz X-ray (Kocevski+18),1.998682677492035e-16,6.662275591640117e-17,3.99736535498407e-16,1.33,False
52581,primer-uds-south,34.40539228360383,-5.223527645703455,2.37,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.0282474306345427e-16,6.760824768781809e-17,4.0564948612690855e-16,1.35,False
55634,primer-uds-south,34.37214013256284,-5.217964106077201,2.74,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.2031244699740782e-16,7.343748233246927e-17,4.4062489399481564e-16,1.47,False
55783,primer-uds-south,34.270711521139155,-5.2176792889822154,7.57,XMM-Newton UDS / UDSz X-ray (Kocevski+18),6.866975112841122e-16,2.288991704280374e-16,1.3733950225682243e-15,4.58,False
57494,primer-uds-south,34.36877729836944,-5.214285317247173,3.02,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.356062889463849e-16,7.853542964879496e-17,4.712125778927698e-16,1.57,False
59568,primer-uds-south,34.37223598544468,-5.210034144967174,3.18,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.448212944723288e-16,8.160709815744293e-17,4.896425889446576e-16,1.63,False
59880,primer-uds-south,34.440987518226386,-5.209337113326783,4.3,XMM-Newton UDS / UDSz X-ray (Kocevski+18),3.23637512361494e-16,1.0787917078716466e-16,6.47275024722988e-16,2.16,False
59971,primer-uds-south,34.26054876950803,-5.209163464917401,8.31,XMM-Newton UDS / UDSz X-ray (Kocevski+18),7.98084031887039e-16,2.66028010629013e-16,1.596168063774078e-15,5.32,False
60046,primer-uds-south,34.3774127954971,-5.209022947260113,3.15,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.430075371739749e-16,8.100251239132497e-17,4.860150743479498e-16,1.62,False
60446,primer-uds-south,34.4030978645048,-5.208186419505702,3.21,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.463486052390821e-16,8.21162017463607e-17,4.926972104781642e-16,1.64,False
62395,primer-uds-south,34.36730350722771,-5.20419582363576,3.61,XMM-Newton UDS / UDSz X-ray (Kocevski+18),2.7234216941902407e-16,9.078072313967468e-17,5.446843388380481e-16,1.82,False
66511,primer-uds-south,34.293687587129725,-5.196477294049358,6.9,XMM-Newton UDS / UDSz X-ray (Kocevski+18),5.966539248799563e-16,1.9888464162665208e-16,1.1933078497599126e-15,3.98,False
