id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,verdict,Cb_null,Cr_null,Cb_geff,Cr_geff
57944,primer-uds-north,5.289790,7,0.048260,0.096519,52.356896,54.006436,-1.649540,265.676300,273.924000,-8.247700,Null wins,0.297833,0.267085,0.302692,0.277118
61010,primer-uds-north,7.134196,7,0.095178,0.190355,7.586534,7.908720,-0.322185,41.824490,43.435418,-1.610927,Neutral,0.431839,0.248146,0.436367,0.264737
61298,primer-uds-north,5.242596,7,0.047262,0.094525,148.382586,152.189164,-3.806578,745.804751,764.837641,-19.032889,Null wins,0.113336,0.290134,0.118949,0.300686
61378,primer-uds-north,7.458285,7,0.105017,0.210033,6.711368,6.666737,0.044630,37.448660,37.225508,0.223152,Weak,0.489811,0.247186,0.492062,0.266367
62716,primer-uds-north,5.386735,7,0.050341,0.100682,54.013310,56.856900,-2.843590,273.958370,288.176321,-14.217951,Null wins,0.499759,0.277072,0.503436,0.288508
64273,primer-uds-north,7.131560,7,0.095100,0.190199,11.979714,12.609639,-0.629926,63.790388,66.940017,-3.149629,Neutral,0.134025,0.344730,0.139699,0.368193
66007,primer-uds-north,4.596338,7,0.034657,0.069315,2.087353,2.192107,-0.104754,14.328586,14.852355,-0.523769,Neutral,0.325951,0.367012,0.326754,0.379889
67270,primer-uds-north,5.665101,7,0.056557,0.113114,237.423434,245.542482,-8.119048,1191.008988,1231.604229,-40.595241,Null wins,0.170077,0.297033,0.180314,0.307369
68006,primer-uds-north,5.160265,7,0.045547,0.091094,180.892558,190.679681,-9.787123,908.354611,957.290227,-48.935616,Null wins,0.080836,0.373379,0.083963,0.388478
69921,primer-uds-north,5.654877,7,0.056322,0.112645,60.413440,62.095758,-1.682318,305.959022,314.370612,-8.411590,Null wins,0.173502,0.257682,0.178399,0.268134
69936,primer-uds-north,7.033967,7,0.092232,0.184464,1.665350,1.704885,-0.039535,12.218569,12.416245,-0.197677,Neutral,0.525246,0.271859,0.528282,0.291338
70423,primer-uds-north,5.477656,7,0.052332,0.104665,9.322405,9.915498,-0.593093,50.503843,53.469308,-2.965464,Neutral,0.244224,0.377769,0.246968,0.394878
70813,primer-uds-north,4.706270,7,0.036661,0.073322,207.627872,207.170863,0.457008,1042.031180,1039.746138,2.285042,Weak,0.292202,0.278427,0.291959,0.289013
71037,primer-uds-north,6.849483,7,0.086930,0.173861,61.990705,61.547916,0.442789,313.845345,311.631398,2.213947,Weak,0.330321,0.327789,0.333517,0.350713
71893,primer-uds-north,6.429184,7,0.075427,0.150854,9.560901,1.033609,8.527292,51.696323,9.059863,42.636460,Weak,0.354995,0.281488,0.503186,0.303436
4278,primer-cosmos-east,5.658226,7,0.056399,0.112799,37.171763,37.906315,-0.734552,189.750634,193.423394,-3.672760,Neutral,0.484491,0.177517,0.492536,0.182733
6282,primer-cosmos-east,5.673777,7,0.056757,0.113513,275.831840,283.876274,-8.044433,1383.051023,1423.273189,-40.222167,Null wins,0.427583,0.194512,0.436019,0.200432
9227,primer-cosmos-east,5.713857,7,0.057682,0.115365,998.305817,1006.247887,-7.942070,4995.420905,5035.131257,-39.710352,Null wins,0.519234,0.161652,0.521691,0.168803
10696,primer-cosmos-east,5.667762,7,0.056618,0.113236,84.868353,87.682295,-2.813942,428.233586,442.303295,-14.069709,Null wins,0.234501,0.316132,0.247230,0.326617
11967,primer-cosmos-east,5.482298,7,0.052435,0.104870,12.533870,12.851955,-0.318086,66.561169,68.151597,-1.590428,Neutral,0.277932,0.171922,0.284128,0.177509
14086,primer-cosmos-east,7.127323,7,0.094974,0.189948,19.936263,21.110017,-1.173754,103.573135,109.441906,-5.868771,Null wins,0.313401,0.296571,0.319011,0.316447
14487,primer-cosmos-east,7.169253,7,0.096219,0.192437,2.478703,2.519072,-0.040369,16.285336,16.487178,-0.201843,Neutral,0.386255,0.132407,0.388170,0.141636
15393,primer-cosmos-east,5.689460,7,0.057118,0.114236,8.757140,8.969255,-0.212115,47.677520,48.738093,-1.060574,Neutral,0.408154,0.164331,0.414301,0.169953
15850,primer-cosmos-east,7.045638,7,0.092573,0.185146,559.541224,578.934739,-19.393515,2801.597938,2898.565515,-96.967577,Null wins,0.155153,0.278130,0.160711,0.295802
16083,primer-cosmos-east,4.577880,7,0.034327,0.068653,222.382083,222.633247,-0.251164,1115.802234,1117.058054,-1.255820,Neutral,0.325775,0.284890,0.326323,0.294896
16408,primer-cosmos-east,4.574863,7,0.034273,0.068545,67.424099,67.535030,-0.110931,341.012316,341.566971,-0.554655,Neutral,0.367509,0.303520,0.367898,0.314243
16563,primer-cosmos-east,5.021993,7,0.042737,0.085475,763.208102,777.410810,-14.202708,3819.932331,3890.945870,-71.013539,Null wins,0.129181,0.346018,0.131120,0.359701
17813,primer-cosmos-east,5.226693,7,0.046928,0.093857,32.322727,33.113229,-0.790502,165.505454,169.457966,-3.952512,Neutral,0.225992,0.267473,0.231992,0.276865
18893,primer-cosmos-east,4.847740,7,0.039325,0.078650,103.352188,102.482448,0.869740,520.652760,516.304058,4.348702,Weak,0.612489,0.107580,0.607830,0.114054
19462,primer-cosmos-east,4.365069,7,0.030634,0.061268,31.876666,23.039542,8.837124,163.275152,119.089532,44.185621,Weak,0.192133,0.351819,0.400568,0.302335
19946,primer-cosmos-east,5.974449,7,0.063879,0.127758,80.937579,83.647431,-2.709852,408.579716,422.128975,-13.549259,Null wins,0.275867,0.308159,0.278657,0.323954
20187,primer-cosmos-east,6.608168,7,0.080228,0.160457,544.021681,171.140090,372.881591,2724.000227,859.592270,1864.407957,Weak,0.163600,0.269094,0.290610,0.311508
21943,primer-cosmos-east,4.715499,7,0.036832,0.073664,95.210090,95.579665,-0.369576,479.942269,481.790146,-1.847878,Neutral,0.312469,0.283219,0.313201,0.293627
23571,primer-cosmos-east,4.760719,7,0.037675,0.075350,18.916879,18.545237,0.371642,98.476217,96.618006,1.858210,Weak,0.582423,0.238474,0.580295,0.248576
26971,primer-cosmos-east,6.406652,7,0.074833,0.149666,996.247945,338.506693,657.741252,4985.131546,1696.425285,3288.706261,Weak,0.312717,0.220107,0.411383,0.266974
27072,primer-cosmos-east,4.957128,7,0.041450,0.082901,508508.306416,508508.306416,0.000000,2542545.423903,2542545.423903,0.000000,Neutral,0.253702,0.000000,0.253702,0.000000
27765,primer-cosmos-east,5.172642,7,0.045803,0.091606,175.150254,179.382056,-4.231802,879.643090,900.802099,-21.159009,Null wins,0.235908,0.279367,0.239951,0.289887
31668,primer-cosmos-east,5.607691,7,0.055246,0.110492,1256.548915,1282.368675,-25.819759,6286.636396,6415.735193,-129.098797,Null wins,0.144304,0.330417,0.146226,0.346158
31770,primer-cosmos-east,5.779070,7,0.059204,0.118408,2582.165136,2674.492263,-92.327126,12914.717502,13376.353133,-461.635631,Null wins,0.163575,0.289375,0.171932,0.300333
32928,primer-cosmos-east,4.458100,7,0.032221,0.064442,1769.747034,706.311522,1063.435512,8852.626988,3535.449431,5317.177558,Weak,0.237570,0.311105,0.377654,0.297502
40209,primer-cosmos-east,5.460908,7,0.051963,0.103925,61.203662,63.825914,-2.622252,309.910128,323.021388,-13.111260,Null wins,0.202445,0.335494,0.209227,0.348579
40642,primer-cosmos-east,4.634340,7,0.035343,0.070687,18.397884,17.977642,0.420242,95.881242,93.780032,2.101210,Weak,0.654500,0.179368,0.653268,0.186511
40799,primer-cosmos-east,7.681151,7,0.112064,0.224128,22.106636,24.561114,-2.454477,114.425002,126.697388,-12.272386,Null wins,0.165074,0.359121,0.171023,0.386351
42464,primer-cosmos-east,5.367483,7,0.049924,0.099848,942.476352,973.808832,-31.332480,4716.273580,4872.935981,-156.662401,Null wins,0.310938,0.264367,0.317577,0.273750
43445,primer-cosmos-east,5.696871,7,0.057289,0.114578,6.567525,6.791563,-0.224038,36.729447,37.849637,-1.120190,Neutral,0.449446,0.275803,0.458919,0.285856
45179,primer-cosmos-east,7.105493,7,0.094329,0.188659,153.993567,158.860635,-4.867068,773.859657,798.194995,-24.335338,Null wins,0.463540,0.219981,0.468981,0.233822
47824,primer-cosmos-east,5.655495,7,0.056337,0.112673,189.799277,194.552448,-4.753171,952.888204,976.654060,-23.765856,Null wins,0.355548,0.219634,0.366277,0.225704
48498,primer-cosmos-east,4.453304,7,0.032138,0.064276,8.562978,2.950761,5.612217,46.706708,18.645624,28.061084,Weak,0.331520,0.153702,0.401396,0.144883
