id,field,z_phot,n_bands,z_dist_pred,delta_G,chi2nu_null,chi2nu_geff,delta_chi2_nu,BIC_null,BIC_geff,delta_BIC,fA_null,fA_geff,alpha_null,alpha_geff,Cb_null,Cr_null,Cb_geff,Cr_geff,verdict
21488,primer-uds-south,5.4140,7,0.094457,0.188914,204.2341,204.2341,-0.0000,412.69,412.69,-0.00,1.0000,1.0000,-2.7263,-2.7263,0.0000,96173.5357,0.0013,15249.1915,Neutral
22358,primer-uds-south,4.6765,7,0.094417,0.188833,225.3911,225.3911,-0.0000,455.01,455.01,-0.00,0.0109,0.8417,-0.9386,-0.9386,0.0000,0.0001,0.0000,0.0004,Neutral
23107,primer-uds-south,4.9525,7,0.094436,0.188872,57.0736,57.0736,0.0000,118.37,118.37,0.00,1.0000,1.0000,-1.0377,-1.0377,358.9587,0.0000,484.4841,0.0000,Neutral
25430,primer-uds-south,7.1282,7,0.094488,0.188976,0.8823,0.8823,0.0000,5.99,5.99,0.00,0.9999,0.9999,-3.0000,-3.0000,1671.8780,23.8983,1551.8478,24.2786,Neutral
28931,primer-uds-south,7.9047,7,0.094492,0.188985,67.1120,67.7357,-0.6237,138.45,139.70,-1.25,1.0000,1.0000,-3.0000,-2.9997,0.0000,1184.7557,48892.8905,85520.4722,Neutral
29392,primer-uds-south,7.4710,7,0.094490,0.188980,196.2636,196.2636,-0.0000,396.75,396.75,-0.00,0.9996,1.0000,-2.3110,-2.3109,0.0000,1.0156,0.2401,74.2755,Neutral
30157,primer-uds-south,4.7269,7,0.094421,0.188841,96.3397,96.3397,-0.0000,196.90,196.90,-0.00,0.5784,1.0000,-1.0114,-1.0114,0.0000,0.0000,167.7524,0.0000,Neutral
30191,primer-uds-south,4.0366,7,0.094337,0.188674,63.5722,63.5722,0.0000,131.37,131.37,0.00,1.0000,1.0000,-0.9221,-0.9221,0.0000,0.0000,0.0977,0.0206,Neutral
30520,primer-uds-south,5.3498,7,0.094455,0.188910,36.3095,36.3095,-0.0000,76.84,76.84,-0.00,0.0443,1.0000,-1.3092,-1.3092,0.0000,0.0002,2.2872,31810.9375,Neutral
32880,primer-uds-south,4.7560,7,0.094423,0.188846,658.3375,658.3375,0.0000,1320.90,1320.90,0.00,1.0000,0.9917,-0.8643,-0.8643,889.9029,0.0000,0.0000,0.0000,Neutral
33445,primer-uds-south,4.3458,7,0.094384,0.188767,562.3647,562.3647,-0.0000,1128.95,1128.95,-0.00,1.0000,0.0085,-0.7578,-0.7578,0.0512,0.0093,0.0000,0.0000,Neutral
